ID,Side,Treatment,CSA ,X cent,Y cent,Density,wX cent,wY cent,Theta,R1 ,R2 ,Imin ,Imax ,Ipm ,Zmin ,Zmax ,Zpol ,Feret Min ,Feret Max ,Feret Angle,Perimeter ,Max Thick 2D ,Mean Thick 2D ,SD Thick 2D 
MASK_Sand_13_R3_s1-3,Left,Sand,172.1443299,11.22797938,13.56307216,1.8,11.22796907,13.56307216,-1.21456701,6.675876289,11.82762887,7149.961948,1614.135588,25.16456701,604.3985567,241.5834021,684.3610825,13.57278351,24.0875567,1.21185567,67.7466701,8.008371134,6.848649485,1.335226804
MASK_Sand_13_R3_s1-3,Right,Sand,142.5670103,14.61698969,13.35440206,1.8,14.61698969,13.35440206,-1.129659794,5.554051546,11.17594845,5370.906732,922.1860722,19.3977732,480.5526186,165.7227938,534.9763093,11.53992784,22.8584433,1.072164948,60.0221134,7.226402062,6.307670103,1.011020619
MASK_Sand15_Left,Left,Sand,127.2058824,11.16878431,22.25669608,1.8,11.16878431,22.25669608,-0.478029412,5.403558824,9.972647059,4037.503422,848.3795686,4.502794118,404.5873431,156.6807941,448.1885098,11.52002941,21.07397059,0.546735294,57.04716667,6.907137255,6.023323529,0.969254902
MASK_Sand15_Right,Right,Sand,114.5882353,9.156862745,18.25385294,1.8,9.156862745,18.25385294,-0.360480392,5.464686275,10.22904902,3488.129618,706.4227451,2.400098039,340.8713137,129.3087549,390.9182255,11.05059804,20.57973529,0.357647059,56.08153922,6.17877451,5.486294118,0.833558824
MASK_Sand_16_R3_s1-3,Left,Sand,140.9230769,108.2709135,173.0220481,1.8,108.2709135,173.0220481,-0.636298077,6.420509615,10.37765385,4561.777856,1199.473058,8.300096154,438.8383942,187.2544808,502.2922019,12.95747115,21.28032692,0.596644231,60.60982692,7.141153846,6.185625,1.071336538
MASK_Sand_16_R3_s1-3,Right,Sand,119.3461538,17.40573077,17.10386538,1.8,17.40573077,17.10386538,-0.744846154,5.224894231,9.607278846,3535.417298,733.1615385,9.145961538,367.68525,140.1349038,412.6642885,10.99307692,20.12701923,0.708894231,54.81888462,6.388230769,5.786903846,0.799278846
MASK_Sand_17_R3_s1-3,Left,Sand,132.4591837,12.56721429,17.59820408,1.8,12.56719388,17.59819388,0.185040816,5.846306122,10.11411224,4220.774378,1006.415786,0.769836735,417.0274082,172.1577041,476.733898,11.86363265,20.88972449,2.872153061,58.1795,6.710173469,5.93677551,0.868255102
MASK_Sand_17_R3_s1-3,Right,Sand,116.9489796,13.03258163,15.6705102,1.8,13.03258163,15.6705102,0.127918367,5.378693878,9.616295918,3509.771959,703.483102,0.351561224,364.8040306,131.0379082,402.8517143,10.4262551,19.87822449,2.46694898,55.1805,6.224846939,5.644,0.772244898
MASK_Sand_18_R3_s1-3,Left,Sand,106.4102564,22.6094359,12.10991453,1.698387097,21.33308871,11.42629032,0.257974359,4.465102564,9.219641026,2931.360778,537.5850513,17.70328205,318.0361652,119.6662522,359.4521565,9.303273504,19.21873504,1.564606838,50.47976923,6.001239316,5.609034188,0.615367521
MASK_Sand_18_R3_s1-3,Right,Sand,100.3913043,19.92321739,12.34622609,1.8,19.9232087,12.34622609,0.013521739,4.648034783,8.538,2403.029922,509.6260087,16.70011304,281.7900174,109.4621478,316.6280609,9.431547826,17.94813043,1.62106087,49.58109565,6.06906087,5.507756522,0.787208696
