"Variable","Group1","Group2","Welch_t","df","P_value_two_sided","P_value_BH"
"Marginal_Ray_4_Measurement_2","Rock","Pelagic",-0.788325760626615,13.2115819501984,0.444421743754214,0.444421743754214
"Marginal_Ray_4_Measurement_2","Rock","Sand",-1.58341987742937,11.4236478864497,0.140600208138151,0.419447419671103
"Marginal_Ray_4_Measurement_2","Sand","Pelagic",1.11099724910015,20.1805697805619,0.279631613114069,0.419447419671103
"Marginal_Ray_4_Measurement_3","Rock","Pelagic",-0.779176825854403,13.4602190874174,0.449358496266615,0.449358496266615
"Marginal_Ray_4_Measurement_3","Rock","Sand",-1.65257071436722,11.5518824222875,0.125314676502251,0.367612215885874
"Marginal_Ray_4_Measurement_3","Sand","Pelagic",1.19747035151281,20.0709250116711,0.245074810590583,0.367612215885874
"Marginal_Ray_4_Measurement_4","Rock","Pelagic",-0.773674602314514,13.9570818636818,0.452029276960649,0.452029276960649
"Marginal_Ray_4_Measurement_4","Rock","Sand",-1.6938920201373,11.5842142316719,0.116974899028748,0.350924697086245
"Marginal_Ray_4_Measurement_4","Sand","Pelagic",1.20699056677343,19.4532677680169,0.241908190779026,0.362862286168539
"Marginal_Ray_5_Measurement_1","Rock","Pelagic",-0.874963157569036,12.3758118618739,0.398256771449076,0.398256771449076
"Marginal_Ray_5_Measurement_1","Rock","Sand",-1.57847238526685,11.3567621049887,0.141888040129527,0.398256771449076
"Marginal_Ray_5_Measurement_1","Sand","Pelagic",1.06156091343159,21.2407319251723,0.300356701492634,0.398256771449076
"Marginal_Ray_5_Measurement_2","Rock","Pelagic",-0.799434954939422,13.0211914452561,0.438378902829909,0.438378902829909
"Marginal_Ray_5_Measurement_2","Rock","Sand",-1.6754091315779,11.1206552849663,0.121712330551649,0.335999696721298
"Marginal_Ray_5_Measurement_2","Sand","Pelagic",1.25513482345842,19.8583889895868,0.223999797814199,0.335999696721298
"Marginal_Ray_5_Measurement_3","Rock","Pelagic",-0.819018531564407,12.9226794480909,0.427622307313721,0.427622307313721
"Marginal_Ray_5_Measurement_3","Rock","Sand",-1.81962026518747,10.9308003547455,0.0962850467999631,0.24071199280396
"Marginal_Ray_5_Measurement_3","Sand","Pelagic",1.45875564569388,19.5975334952019,0.160474661869307,0.24071199280396
"Marginal_Ray_5_Measurement_4","Rock","Pelagic",-0.773091116687502,13.8962923520691,0.452418922065232,0.452418922065232
